Tm,R,RBI,OBP,SLG,OPS,OPS+,TB,GDP
Arizona Diamondbacks,121,116,.312,.412,.723,99,358,22
Atlanta Braves,130,123,.340,.459,.799,114,392,22
Baltimore Orioles,125,121,.336,.419,.755,111,331,22
Boston Red Sox,146,138,.329,.429,.758,106,378,21
Chicago Cubs,130,124,.347,.443,.790,117,355,13
Chicago White Sox,96,94,.287,.365,.652,80,312,13
Cincinnati Reds,107,102,.319,.348,.667,77,283,12
Cleveland Guardians,95,85,.313,.348,.661,88,292,18
Colorado Rockies,98,94,.305,.372,.677,76,326,24
Detroit Tigers,70,69,.279,.330,.609,75,259,16
Houston Astros,122,118,.328,.384,.712,99,329,20
Kansas City Royals,82,76,.275,.343,.618,73,285,18
Los Angeles Angels,131,129,.332,.420,.752,108,354,21
Los Angeles Dodgers,130,128,.321,.449,.771,106,368,12
Miami Marlins,80,79,.300,.385,.685,89,318,25
Milwaukee Brewers,119,115,.325,.406,.731,102,338,21
Minnesota Twins,109,104,.303,.399,.702,97,333,16
New York Mets,113,109,.329,.378,.707,99,313,18
New York Yankees,108,101,.308,.392,.700,96,318,16
Oakland Athletics,92,90,.304,.369,.673,94,308,20
Philadelphia Phillies,113,109,.336,.450,.786,115,393,14
Pittsburgh Pirates,126,119,.335,.435,.771,111,364,19
San Diego Padres,97,93,.301,.370,.671,91,310,20
Seattle Mariners,108,106,.301,.387,.688,96,312,14
San Francisco Giants,111,108,.322,.423,.744,101,350,16
St. Louis Cardinals,111,108,.342,.430,.772,116,369,21
Tampa Bay Rays,157,154,.349,.509,.858,143,430,10
Texas Rangers,154,150,.340,.440,.781,119,358,14
Toronto Blue Jays,120,115,.338,.415,.753,112,355,15
Washington Nationals,85,81,.320,.342,.663,88,268,21
