Tm,ERA,R,BB,ERA+,FIP,WHIP,H9,BB9,SO/W
Arizona Diamondbacks,4.62,123,106,95,4.85,1.351,8.0,4.2,2.03
Atlanta Braves,3.38,90,80,133,3.65,1.237,7.9,3.2,2.88
Baltimore Orioles,4.19,104,71,108,4.09,1.253,8.3,3.0,3.03
Boston Red Sox,5.13,138,80,93,4.74,1.373,9.2,3.2,2.75
Chicago Cubs,3.57,87,78,123,3.80,1.166,7.1,3.4,2.86
Chicago White Sox,5.62,145,112,82,5.05,1.572,9.5,4.7,2.14
Cincinnati Reds,5.01,125,90,98,4.24,1.500,9.8,3.7,2.57
Cleveland Guardians,3.96,108,71,110,3.96,1.262,8.6,2.8,2.76
Colorado Rockies,5.09,145,98,98,5.03,1.466,9.2,4.0,2.04
Detroit Tigers,4.72,113,69,93,4.84,1.214,7.9,3.0,2.71
Houston Astros,3.16,94,73,138,3.63,1.197,7.9,2.9,3.34
Kansas City Royals,5.29,135,81,87,4.72,1.407,9.3,3.3,2.56
Los Angeles Angels,3.98,114,92,116,4.44,1.290,7.9,3.7,2.28
Los Angeles Dodgers,4.64,117,64,96,4.23,1.315,9.2,2.6,3.14
Miami Marlins,4.52,119,84,97,4.65,1.308,8.3,3.4,2.46
Milwaukee Brewers,3.46,91,79,122,4.31,1.214,7.8,3.2,2.46
Minnesota Twins,3.52,94,62,126,3.53,1.109,7.5,2.5,3.92
New York Mets,4.19,102,104,100,5.01,1.374,8.1,4.3,2.09
New York Yankees,3.36,90,80,131,3.93,1.149,7.1,3.2,2.99
Oakland Athletics,7.97,204,127,54,6.43,1.758,10.6,5.2,1.44
Philadelphia Phillies,4.79,124,91,90,4.06,1.358,8.5,3.8,2.52
Pittsburgh Pirates,3.66,95,92,121,3.96,1.319,8.2,3.7,2.38
San Diego Padres,4.37,114,100,93,4.41,1.370,8.4,3.9,2.17
Seattle Mariners,3.81,106,78,113,3.63,1.256,8.1,3.2,2.81
San Francisco Giants,4.17,116,61,106,4.24,1.284,9.0,2.5,3.56
St. Louis Cardinals,4.59,122,86,89,4.35,1.461,9.6,3.5,2.66
Tampa Bay Rays,2.74,70,77,154,3.32,1.054,6.4,3.1,2.92
Texas Rangers,3.67,98,72,122,3.51,1.213,7.8,3.1,3.04
Toronto Blue Jays,4.01,106,72,110,4.16,1.200,7.9,2.9,3.17
Washington Nationals,3.92,97,80,107,4.56,1.312,8.2,3.6,2.19
