Tm,W-L%,ERA,tSho,H,R,HR,BB,SO,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
Arizona Diamondbacks,.457,4.25,10,1345,740,191,504,1216,95,4.33,1.293,8.5,1.2,3.2,7.7,2.41
Atlanta Braves,.623,3.46,9,1224,609,148,500,1554,118,3.46,1.191,7.6,0.9,3.1,9.7,3.11
Baltimore Orioles,.512,3.97,15,1406,688,171,443,1214,102,4.03,1.290,8.8,1.1,2.8,7.6,2.74
Boston Red Sox,.481,4.53,10,1411,787,185,526,1346,93,4.17,1.354,8.9,1.2,3.3,8.5,2.56
Chicago Cubs,.457,4.00,11,1342,731,207,540,1383,103,4.33,1.304,8.4,1.3,3.4,8.6,2.56
Chicago White Sox,.500,3.92,14,1330,717,166,533,1450,101,3.81,1.287,8.3,1.0,3.3,9.0,2.72
Cincinnati Reds,.383,4.86,6,1366,815,213,612,1414,93,4.59,1.390,8.6,1.3,3.9,8.9,2.31
Cleveland Guardians,.568,3.46,8,1252,634,172,435,1390,110,3.75,1.159,7.7,1.1,2.7,8.6,3.20
Colorado Rockies,.420,5.06,6,1516,873,184,539,1187,92,4.38,1.442,9.6,1.2,3.4,7.5,2.20
Detroit Tigers,.407,4.04,8,1336,713,167,511,1195,94,4.16,1.301,8.5,1.1,3.2,7.6,2.34
Houston Astros,.654,2.90,18,1121,518,134,458,1524,134,3.28,1.092,7.0,0.8,2.9,9.5,3.33
Kansas City Royals,.401,4.70,9,1493,810,173,589,1191,87,4.42,1.470,9.5,1.1,3.7,7.6,2.02
Los Angeles Angels,.451,3.77,17,1241,668,168,540,1383,107,3.96,1.241,7.8,1.1,3.4,8.7,2.56
Los Angeles Dodgers,.685,2.80,15,1114,513,152,407,1465,150,3.45,1.048,6.9,0.9,2.5,9.1,3.60
Miami Marlins,.426,3.86,10,1311,676,173,511,1437,106,3.90,1.268,8.2,1.1,3.2,9.0,2.81
Milwaukee Brewers,.531,3.83,11,1238,688,190,521,1530,104,3.92,1.216,7.7,1.2,3.2,9.5,2.94
Minnesota Twins,.481,3.98,17,1320,684,184,468,1336,98,4.03,1.244,8.3,1.2,2.9,8.4,2.85
New York Mets,.623,3.57,19,1274,606,169,428,1565,108,3.50,1.183,8.0,1.1,2.7,9.8,3.66
New York Yankees,.611,3.30,16,1177,567,157,444,1459,119,3.56,1.117,7.3,1.0,2.8,9.0,3.29
Oakland Athletics,.370,4.52,7,1394,770,195,503,1203,83,4.41,1.330,8.8,1.2,3.2,7.6,2.39
Philadelphia Phillies,.537,3.97,15,1330,685,150,463,1423,103,3.60,1.255,8.4,0.9,2.9,9.0,3.07
Pittsburgh Pirates,.383,4.66,6,1432,817,164,586,1250,90,4.27,1.420,9.1,1.0,3.7,7.9,2.13
San Diego Padres,.549,3.81,15,1263,660,173,468,1451,99,3.82,1.199,7.9,1.1,2.9,9.0,3.10
Seattle Mariners,.556,3.59,10,1277,623,186,447,1391,104,3.90,1.191,7.9,1.2,2.8,8.7,3.11
San Francisco Giants,.500,3.85,8,1397,697,132,441,1370,105,3.43,1.283,8.8,0.8,2.8,8.6,3.11
St. Louis Cardinals,.574,3.79,17,1335,637,146,489,1177,101,3.94,1.270,8.4,0.9,3.1,7.4,2.41
Tampa Bay Rays,.531,3.41,10,1260,614,172,384,1384,107,3.68,1.145,7.9,1.1,2.4,8.7,3.60
Texas Rangers,.420,4.22,10,1345,743,169,581,1314,94,4.17,1.342,8.4,1.1,3.6,8.2,2.26
Toronto Blue Jays,.568,3.87,10,1356,679,180,424,1390,101,3.85,1.235,8.5,1.1,2.6,8.7,3.28
Washington Nationals,.340,5.00,4,1469,855,244,558,1220,79,4.98,1.436,9.4,1.6,3.6,7.8,2.19
